title,url,desc
龟鹿二仙膏,http://www.zhongyoo.com/zhongchengyao/glexg_8798.html,【药名】龟鹿二仙膏 guiluerxiangao　　【处方】龟甲、鹿角、党参、枸杞子。　　【制备方法】以上四味，龟板加水煎煮三次，每次24小时，合并煎液，滤过，滤液静置；鹿角锯成长6～10厘米的段，漂泡至水清，取出，加水煎煮三次，第一、二次各30小时，第三次20小时，合并煎液，滤过，滤液静置党参、枸杞子加水煎煮三次；第一、二次各 2小时，第三次 1.5小时，合并煎液，滤过，滤液静置；合并上述三种滤液，滤过滤液浓缩成清膏；取蔗糖，制成转化糖，加入上述清膏中，混匀，浓缩至规定的相对密度，即得。　　【药方分析】方以鹿角壮阳而补督脉，龟甲益肾而补任脉，两药合用，补阳而不伤阴，且能从益阴中补阳，同为本方主药。配党参补气，枸杞子滋补肝肾，益精明目为辅药。全方配伍，有益气血，补精髓之功。适用于肾气虚衰，精血不足所致的各种证候。　　【剂型规格】膏剂。每瓶200克。为红棕色稠厚的半流体；味甜。　　【功能主治】益气血，补精髓。主治肾气虚衰之精血不足所致的眩晕耳鸣、视物昏花、肢体麻木、腰膝酸软、畏寒肢冷、手足麻木、阳痿、遗精、舌淡、苔白或少、脉沉无力等病证。　　【用法用量】口服。每次15～20克，每日3次。　　【使用禁忌】外感病勿服。脾胃虚弱者慎用。　　【临床应用】本方温肾养肝，强筋壮骨，益气养血，生精充髓，为气血双补，阴阳兼顾的方剂。适用于肾阳不足，精血亏虚所致的虚劳，腰痛、遗精、阳痿、遗尿、不育不孕等证。运用本方的基本指征为：既有腰膝酸软，耳鸣耳聋，发脱齿摇，神疲乏力、畏寒肢冷等肾阳不足的症状，又有眩晕，视物模糊，形体消瘦，或男子少精不育，女子经闭不孕等肾精不足，肝血亏虚之症。　　1.虚劳：眩晕耳鸣，视物昏花，肢体麻木，腰膝酸软，畏寒肢冷，面色少华，脉沉细或弦细，舌淡少苔者。慢性病、老年、身体虚弱而见上述症状者皆可服用。西医之甲状腺功能减退、肾上腺皮质功能减退属此范围。　　2.腰痛：腰痛不甚，绵绵不断，时轻时重，酸软无力，捶按则舒，劳作则甚，兼见耳鸣眼花，手足麻木，畏寒倦怠，脉沉细，舌淡苔白。西医之腰肌劳损也可用本方治疗。　　3.遗精：遗精或阳痿早泄，或滑精而兼见头晕耳鸣，失眠健忘，腰膝酸软，夜多小便，脉沉无力，舌淡苔白或少苔。阳痿与性功能障碍者可服本方。西医之性功能障碍属之。　　4.不育不孕症：结婚多年不育或不孕，证见耳鸣头晕，倦怠少力，腰膝酸软，性欲减退等症也可服本方治疗。　　【贮藏】密封，置阴凉处。
金银花露,http://www.zhongyoo.com/zhongchengyao/jyhl_9049.html,【药名】金银花露 jin yin hua lu　　【处方】金银花。　　【制备方法】取金银花，用水蒸汽蒸馏，每100克的金银花收集蒸馏液1600克。取蒸馏液，滤过，灌封，灭菌，即得。　　【药方分析】本方由一味药组成。金银花味甘性寒，药用其花又能疏散，功擅清热解毒兼可透散表邪，以收清热解毒之效。　　【剂型规格】每500克相当于金银花31.25克。每瓶装60毫升、100毫升、150毫升、340毫升。为无色透明的液体；气芳香。　　【功能主治】清热解毒。用于暑热口渴，疮疖，小儿胎毒。　　【用法用量】口服。一次60～120毫升，一日2～3次。　　【使用禁忌】用药期间，勿食辛辣油腻食物。　　【临床应用】本方为清热解毒之剂，主治热毒蕴积引起的暑热口渴，疮疖，小儿胎毒等。其临床指征为：暑热不退，口渴引饮，汗出不止，或身上长有疮疖，疼痛，或有发热等。　　1.暑热：夏暑之季感受暑邪而发病，发热重而恶寒轻，汗出热不退，心烦口渴，小便短赤，舌苔黄腻，脉象浮数。凡夏季感冒见上述症状者，可用本药治疗。　　2.疮疖：皮肤疮疖或出血，灼热疼痛，局部红肿，按之有跳动感，舌苔黄腻，脉象洪数。属于急性感染性皮肤疾患，可用此药治疗。　　【贮藏】密封。
小柴胡汤丸,http://www.zhongyoo.com/zhongchengyao/xchtw_6230.html,【药名】小柴胡汤丸 xiao chai hu tang wan　　【处方】柴胡、黄芩、党参、制半夏、甘草、生姜、大枣。　　【制备方法】以上七味，柴胡、生姜以水蒸汽蒸馏法提取挥发油，蒸馏后的水溶液另器保存；药渣与黄芩、党参、大枣加水煎煮二次，每次2小时，合并煎液，滤过，滤液与上述水溶液合并，减压浓缩成稠膏；半夏、甘草粉碎成细粉，过筛，混匀；将以上稠膏、细粉及挥发油混匀，制成浓缩丸干燥，即得。　　【药方分析】本方为小柴胡汤制剂。邪犯少阳半表半里，正邪相争之证，治当和解少阳，扶正祛邪。本方用柴胡清解少阳之邪，兼能疏畅胸胁气机郁结痞闷，为本方之主药；黄芩清肝胆之热，可协助柴胡以清少阳之邪热，为本方之辅药；二药合用，使其达到和解清热的目的。党参、大枣益气和中，扶正以达邪；制半夏、生姜和胃降逆，善治心烦喜呕，共为本方之佐药；意在补中扶正，和胃降逆，以协助柴胡、黄芩达邪。甘草既能调和诸药，又可相助扶正，为本方之使药。诸药合用，配伍成方，共奏和解少阳、补中扶正、和胃降逆之效。故清代柯韵伯称其为“少阳机枢之剂，和解表里之总方”。　　【剂型规格】丸剂。每8丸相当于原生药3克。为综褐色浓缩丸；味甘、辛、微苦。　　【功能主治】和解表里。用于寒热往来，胸肋苦满，心烦喜呕，食欲不振，口苦咽干，头晕目眩。　　【用法用量】口服。成人每次服24丸(9克)，一日2～3次；7岁以上儿童服成人二分之一量。　　【使用禁忌】忌生冷辛辣刺激食物。　　【临床应用】本丸系和解少阳之剂，《伤寒论》以此作为治疗少阳病的主方。临床除了用于和解少阳外，对于妇人伤寒，热入血室，以及疟疾、黄疸等杂病见少阳证者，具有较好疗效。运用本丸的基本指征是：往来寒热，口苦咽干，胸胁苦满，舌苔薄白，脉弦。这些指征体现了邪在少阳肝胆的病机，所以应用甚广。具体运用如：　　1.少阳病：临床主要表现为口苦、咽干、目眩，往来寒热，胸胁苦满，默默不欲饮食，心烦喜呕，舌苔薄白，脉弦者。西医之急慢性肝炎、上呼吸道感染、担囊炎、胆石症、神经衰弱等，见上述表现者属之。　　2.热入血室：临床主要表现为妇人伤寒中风，经水时来或时断，寒热往来，昼日明了，暮则谵语，胸胁苦满，舌苔薄白，脉象弦数。西医之产后感染或经期感冒见上述表现者属之。　　3.黄疸病：临床主要表现为黄疸病出现腹痛而呕的胆胃气逆证，且见寒热往来，头晕目眩，胸胁苦满，心烦，舌苔薄白，脉弦等症。西医之为迁延性肝炎、胆囊炎、胆石症见上述表现者，属此辨治范围。　　【贮藏】密封，置阴晾干燥处。
柴胡注射液,http://www.zhongyoo.com/zhongchengyao/chzsy_7982.html,【药名】柴胡注射液 chai hu zhu she ye　　【处方】柴胡。经水蒸气蒸馏制成的灭菌水溶液。　　【制备方法】取柴胡1000克，切断，加水温浸，经水蒸气蒸馏，收集初馏液，再重蒸馏，收集重馏液约1000毫升，加入3克聚山梨酯80，搅拌使油完全溶解，再加入9克氯化钠，溶解后，滤过，加注射用水至1000毫升，调pH值，测定吸收度，精滤，灌封，灭菌，即得。　　【药方分析】柴胡性微寒而味苦。《本草正义》中说其“用其凉寒，平肝之热。其性凉故解寒热往来，肌表潮热，肝胆火炎，胸胁胀痛，兼治疮疡，血室受热;其性散，故主伤寒邪热未解，温病热盛，少阳头痛，肝经郁证。总之邪实者可用，真阴虚者当酌其宜”。柴胡功能和解退热，疏肌解郁，升举阳气，故广泛用于外感、内伤诸证。柴胡注射液系以柴胡一味，经水蒸气蒸馏制成的水溶液。为临床常用之退热之注射液。　　【剂型规格】注射剂。每支2毫升，相当于生药4克。为无色或呈微乳白色的澄明液体;气芳香。　　【功能主治】清热解表。用于治疗感冒、流行性感冒及疟疾等的发热。　　【用法用量】肌内注射。一日1～2次，成人首次用4毫升，以后一次2毫升。儿童一次1～1.5毫升。　　【使用禁忌】过敏体质者慎用，真阴亏损者甚用。　　【临床应用】柴胡注射液临床应用甚广，广泛用于外感内伤之症，其应用基本指征是：寒热往来，胸满胁痛，头痛，目眩，口苦，疟疾寒热等症。　　1.感冒：用于外感风寒，邪在少阳，寒热往来，胸胁苦闷，口苦咽干，头痛目眩等症。西医之普通型感冒、病毒型感冒，见上述症状者均可使用。　　2.疟疾：症见寒战高热，休作有对，头痛面赤，口渴引饮，舌红苔薄白或黄腻，脉象弦滑等。　　3.胁病：症见两胁胀闷疼痛，胸闷气短，纳差嗳气，时有恶心，苔薄，脉弦等。西医之急、慢性肝炎，胆道感染等，见上述症状者，均可使用。　　【贮藏】密封，避光，置阴凉处。
柴黄口服液,http://www.zhongyoo.com/zhongchengyao/chkfy_7985.html,【药名】柴黄口服液 xiao chai hu tang wan　　【处方】柴胡、黄芩。　　【制备方法】以上二味，黄芩加水煎煮二次，每次1小时，合并煎液，滤液加硫酸调节至2.0，静置，滤取沉淀，用乙醇适量洗涤后干燥，备用；柴胡用水蒸气蒸馏法提取挥发油；蒸馏后的水溶液与药渣加水煎煮二次，第一次2小时，第二次1小时，合并煎液，滤过，滤液浓缩至相对密度为1.16～1.24(60℃)，加入乙醇使含醇量达60%，搅匀，冷藏24小时，滤过，滤液回收乙醇，得相对密度为1.14～1.24(60℃)的浓缩液；加入上述黄芩提取物，调节PH值至5.6～5.8，加水，冷藏48小时，加入柴湖挥发油，滤过，加入蔗糖，苯甲酸钠，加水搅匀，灌装，即得。　　【药方分析】本方由2味药组成。方中柴胡性辛苦而微寒，芳香疏泄，有和解退热之功，为主药；黄芩苦寒，长于清肺热，配合主药共达外散内清之效；另外，柴胡、黄芩合用，尚有和解少阳、清泄胆热之功。　　【剂型规格】口服液，每支10毫升。为红棕色液体；味辛，微苦　　【功能主治】清热解表。用于感冒引起的发热、周身不适、头痛目眩、咽喉肿痛。　　【用法用量】口服。一次10毫升，一日3次，或遵医嘱。　　【使用禁忌】孕妇及虚寒泄泻者不宜服用。风寒感冒勿用，风寒感冒初期使用有引邪入少阳之虞。　　【临床应用】本方为清解风热、和解肝胆郁热之剂，适用于轻、中型风热感冒引起的发热，周身不适，头痛目眩，咽喉痛，并可用于乙型肝炎而见寒热往来、口苦咽干等症者。　　1.风热感冒少阳证：发热微恶风寒，寒热往来，头痛身困，咳嗽，少有白痰，口苦咽干，舌质红，舌苔薄腻，脉象浮数。　　2.乙型肝炎发热：微恶风寒，两胁胀满，微痛，口苦咽干，不欲饮食，小便短赤，大便不实，舌质红赤，舌苔薄腻，脉象弦细。　　【贮藏】密封，避光，置阴凉处。
卫生宝丸,http://www.zhongyoo.com/zhongchengyao/wsbw_13183.html,【药名】卫生宝丸 wei sheng bao wan　　【处方】柴胡、黄芩、玄参、天花粉、麦冬、竹茹、僵蚕(麸炒)、荆芥穗、薄荷、桔梗、紫苏叶、苦杏仁(去皮炒)、六神曲(麸炒)、甘草、朱砂粉、羚羊角粉、水牛角浓缩粉、冰片、雄黄粉。　　【制备方法】以上十九味，除朱砂粉、羚羊角粉、水牛角浓缩粉、雄黄粉外冰片研成细粉；其余 玄参等十四味粉碎成细粉，过筛，混匀，与上述朱砂粉等五味细粉配研均匀，过筛。每100克粉末加炼蜜 130～140克制成大蜜丸，即得。　　【药方分析】本方由19味药组成。方中以柴胡疏邪，轻清升散，黄芩清热，二者相协，和解少阳为方中主药。辅以薄荷疏风散热；荆芥穗透邪解表；紫苏叶发表散寒，开宣肺气。佐以桔梗、苦杏仁宣肺化痰，止咳平喘；竹茹清热化痰；麦冬、玄参、天花粉清热养阴；羚羊角、水牛角、雄黄、冰片、朱砂清热解毒，安神定惊；僵蚕祛风止痛；六神曲消食化积，健脾和胃，并可防止寒凉之品更伤脾胃。使以甘草调和药性。诸药配伍，共奏和解少阳，疏风解表，润肺化痰之功。　　【剂型规格】丸剂。每丸重3克。为金黄色的大蜜丸；气香，味甜。　　【功能主治】疏风解表，润肺化痰。用于外感风寒，内有蕴热而致的怕冷发烧，四肢酸懒，头疼目眩，咳嗽痰多，口渴咽干。　　【用法用量】口服。一次2丸，一日2次；小儿一次1丸或0.5丸。　　【使用禁忌】本品不宜久服；服用前应除去蜡皮、塑料球壳；不可整丸吞服。　　【临床应用】本方系和解少阳，疏风解表.润肺化痰之剂。临床用于治疗外感风寒，内传少阳而致寒热、咳嗽。运用本方的指征为：怕冷发热，寒热往来，四肢酸懒，头痛目眩，咳嗽痰多，口渴咽干，舌偏红，苔薄黄，脉浮数或浮滑数等。西医之上呼吸道感染、支气管炎，见上述表现，属外感风寒，在表失解，内传少阳者，可用本方治疗。　　【贮藏】密封。
少阳感冒颗粒,http://www.zhongyoo.com/zhongchengyao/sygmkl_6397.html,【药名】少阳感冒颗粒 shao yang gan mao ke li　　【处方】北柴胡、青蒿、黄芩、半夏、生晒参、生姜、大枣、甘草。　　【制备方法】以上八味，柴胡、干姜提取挥发油，药渣与其余等六味，加水煎煮三次，第一次3小时，第二次2小时，第三次1小时，合并煎液，滤过，滤液浓缩至适量，喷雾干燥；加蔗糖、糊精适量，混匀，以70%乙醇制粒，干燥，喷入上述挥发油，混匀，制成即得。　　【药方分析】本方由8味药物组成。少阳感冒多因病邪由表而入少阳半表半里。方中以柴胡、青蒿为君药，柴胡为少阳专药，轻清升散，疏邪透表，青蒿苦寒芬芳能清透少阳邪热。黄芩苦寒善清少阳邪热，柴芩合用一散一清共解半表半里之邪；半夏和胃降逆，散结消痞，助君药攻邪，为臣药。人参扶气助君药达邪为佐药。生姜、大枣益胃气，生津液，和营卫为使药。全方配伍具有扶正解表，清热止呕作用。凡见少阳病证皆可应用。　　【剂型规格】颗粒剂。每袋8克。为棕褐色颗粒；气芳香，味甘、微苦。　　【功能主治】扶正解表，清热和中。用于寒热往来、口苦咽干、头晕目眩、不思饮食、心烦恶心。　　【用法用量】口服。一次1～2袋，一日3次，开水冲服。　　【使用禁忌】饮食宜清淡，忌辛辣厚味。　　【临床应用】本方为和解少阳的主方。临床对感冒病属少阳证候，疟疾(正疟)，妇人产后外感发热，凡见病邪在半表半里的少阳证者均可用本方治疗。运用本方的主症为：往来寒热，口苦，舌边红，苔薄黄，脉弦。兼症;咽干、目眩，不欲饮食，心烦喜呕等。　　1.少阳感冒：外感风寒表证失解，邪传少阳，症见往来寒热，口苦，咽干，目眩，胸胁苦满，不欲饮食，心烦喜呕，或胸中烦而不呕，舌边红，苔薄黄，脉弦。　　2.疟疾：为正疟型，见寒战壮热，休作有时，先有寒栗鼓颌，寒罢则内外皆热，头痛面赤，口渴引饮，终则遍身汗出，舌红，苔薄黄腻，脉弦。　　3.产后外感发热：产后气血虚弱，卫阳不固，风寒乘虚侵袭，外邪客于少阳半表半里，见往来寒热，口苦咽干作呕，舌苔白润，脉弦。　　【贮藏】密封。
无极丸,http://www.zhongyoo.com/zhongchengyao/wjw_6323.html,【药名】无极丸 wu ji wan　　【处方】甘草、石膏、滑石粉、糯米(蒸熟)、薄荷脑、冰片、丁香、砂仁、白豆蔻、肉桂、牛黄、人造香。　　【制备方法】以上十二味，除牛黄、人造香外，取冰片、薄荷脑同研至液化；其余甘草等八味粉碎成细粉，与上述牛黄等粉末配研，过筛，混匀，与冰片等液研合均匀。取少量生糯米粉制糊，泛丸，干燥，另取朱砂粉包衣，打光，即得。　　【药方分析】本方由12味药组成。方中重用甘草清热解毒，滑石粉清热利尿、除烦止渴，石膏甘寒清热解暑、解肌透表，共为主药。辅以砂仁、白豆蔻、丁香、肉桂健脾和胃、降逆止呕、行气止痛；佐以人造香芳香醒脾，牛黄清心解毒，冰片通窍醒脑，薄荷脑涤暑清热，朱砂镇心安神。使以糯米养胃扶正。诸药合用，共奏清热解暑、健胃醒脑之功。　　【剂型规格】丸剂。每60粒重3克。为朱红色的糊丸，除去外衣显黄绿色；味甘，辛、凉。　　【功能主治】清热祛暑，避秽止呕。用于中暑受热、呕吐恶心、身热烦倦，头目眩晕、伤酒伤食、消化不良、水土不服、晕车晕船。　　【用法用量】口服。一次10～20粒，小儿酌减。　　【使用禁忌】孕妇忌服。　　【临床应用】本药为清热解暑醒脑剂。适用于中暑受热所引起的阳暑以及水土不服、晕车晕船等。　　1.阳暑：发热，心烦，面色红赤，身体倦困，头晕目眩，汗出而热不减，舌苔黄腻，脉象濡数。为夏季感受暑热而致的热性感冒。　　2.水土不服：每到异地，头晕目眩，不欲饮食，恶心干呕，或每食即腹泻腹痛，口苦口黏，消化不良，舌苔黄腻，脉象沉细。　　另外，本品还可用于伤酒伤食，晕车晕船等。　　【贮藏】密封。
芎菊上清丸,http://www.zhongyoo.com/zhongchengyao/xjsqw_7104.html,【药名】芎菊上清丸 qiong ju shang qing wan　　【处方】羌活、川芎、白芷、菊花、连翘、蔓荆子(微炒)、薄荷、防风、荆芥穗、藁本、黄芩、黄连、栀子、桔梗、甘草。　　【制备方法】以上十五味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得。　　【药方分析】本方由15味药物组成。头痛眩晕，多由于肝肺胃热盛，风邪外袭，循经上犯头目，阻遏清阳之所致。巅顶之上，唯风药可以到达，故用辛散上行之羌活善治太阳经头痛，川芎善治少阳、厥阴经头痛，白芷善治阳明经头痛，共为主药。菊花、连翘、蔓荆子、薄荷、防风、荆芥穗、藁本疏散上部之风邪，协助主药，以增强解表散风止痛之效，共为辅药。黄芩、黄连、栀子清泻内热积火，又可监制以上辛散风药过于温燥升散，为佐。桔梗载药上行头面，清宣肺热，甘草调和诸药，共以为使。全方辛温、辛凉、苦寒并用，有疏风清热止痛之功，对内热炽盛、感受风邪，上扰清窍所致的头痛眩晕等疾病，极为合适。　　【剂型规格】水丸剂，每百粒重6克。为棕黄色至棕褐色的水丸；味苦。　　【功能主治】清热解表，散风止痛。用于外感风邪引起的恶风身热，偏正头痛，鼻流清涕，牙疼喉痛。　　【用法用量】口服。每服6克，一日2次；体虚者及小孩酌减。　　【使用禁忌】忌食辛辣油腻等食物。体虚者慎用。　　【临床应用】本方系表里兼顾之祛风清热止痛剂，多用于治疗偏正头痛、头目眩晕、鼻渊脑痛，风火牙痛等疾患，运用本药的基本指征为：头痛、头晕、目眩，鼻塞，口苦咽干，舌苔薄白或黄，脉弦数：这些指征体现了肝肺胃内热积火，风邪外袭，循经上扰之病机，所以应用甚广。　　1.偏正头痛：表现为头痛、眩晕、恶风，鼻塞流涕，口苦咽干，或目赤耳鸣，舌苔薄白黄，脉弦数或弦紧数。西医之神经性头痛、三叉神经痛以及感冒头痛等，有以上表现者属此范围。　　2.眩晕：头晕，目眩，或鼻塞流涕，耳鸣，咽喉不利，口苦咽干等。西医之神经官能症等，有以上症状者可用本药。　　3.鼻渊：鼻流清涕，或浊涕，喷嚏，或鼻塞，或兼头痛，头目不清，口苦咽干等。西医之鼻窦炎、副鼻窦炎、萎缩性鼻炎、过敏性鼻炎等，有上述表现者，可按此辨治。　　4.风火牙痛：牙痛龈肿，遇冷热尤甚，牵引头痛，兼头晕、口苦，舌苔薄白黄，脉弦数，西医之类症性牙周病等，见以上表现者，可用此药。　　【贮藏】密封，防潮。
荆防败毒丸,http://www.zhongyoo.com/zhongchengyao/jfbdw_6841.html,【药名】荆防败毒丸 shen su xuan fei wan　　【处方】防风、荆芥、赤茯苓、羌活、独活、川芎、柴胡(去头)、薄荷、前胡、桔梗(去芦)、枳壳、党参(去芦)、甘草。　　【制备方法】以上十三味，粉碎成细粉，过筛，混匀，用水泛丸，低温干燥即得。　　【药方分析】本方由13味药物组成。虚体外感风寒湿邪，客于肌表，郁遏表阳，遂有化热之势。症见发热恶寒，头项强痛，鼻塞咽痛。治宜解表散寒，疏风祛湿，并透其邪热。方中防风、荆芥表散风寒为主药。赤茯苓清热解毒利湿；羌活、独活除湿止痛且助荆防解表；川芎辛散，能祛血中之风而宣痹止痛，增强解表之力；柴胡、薄荷辛凉透表，可疏泄肌表郁热；前胡、桔梗、枳壳，宣肺化痰，宽胸利气，以上均为辅药。党参加入解表药中能鼓舞正气，托邪外出，使其邪祛而正不伤，故为佐药。甘草为使，调和诸药。合而用之，有解表散寒、疏风祛湿、透达郁热之效，对于外感风寒湿邪之后，病情缠绵且有郁热证者尤宜。　　【剂型规格】水丸剂。每10粒重1克，每袋9克。为黄褐色的水丸；气微清凉，味微苦。　　【功能主治】清热散风，解毒消肿。用于流行性感冒，恶寒发热，头痛咳嗽，瘟毒发颐。　　【用法用量】口服。一次1袋，一日2次。　　【使用禁忌】忌食生凉饮食。　　【临床应用】本方为荆防败毒散的新型制剂。适用于虚体外感风寒湿邪而有郁热之证。运用本方的基本指征为：发热恶寒，头项强痛，咳嗽吐痰，鼻塞咽痛，舌淡红、苔薄白而腻，或苔微黄，脉浮。　　凡感冒而见有上述症状者，如恶寒轻发热重，头痛项强，咳嗽，咯白色痰液等，即可用本方治疗。　　本方有宣疏肌表、调畅气血之功，故疮疡初起，肿痛、发热、恶寒者，亦可用本方治疗。　　【贮藏】密封，防潮。
